Name	Classification	Main Purpose	Lipid specific	Lipid Structures	Structural levels	Ontology	Spectral Data	Biochemical Reaction Data	Curation	PMID	URL	Remarks						
CCS-Compendium	Database	Compendium of experimentally acquired Collisional Cross Section (Ion Mobility) data from molecular standards acquired on drift tube instruments	yes	yes	yes (1)	ClassyFire/ChemOnt	no	no	manual	30816114	https://pubmed.ncbi.nlm.nih.gov/30816114	(1) kingdom, superclass, class, subclass						1
GNPS	Database	Knowledge base for raw, processed or annotated fragmentation mass spectrometry data	no	yes	no	-	yes (2)	yes (3)	no (4)	27504778	https://pubmed.ncbi.nlm.nih.gov/27504778	(2) internal and through MassIVE, (3) via integration with multiple tools, (4) via MassIVE and other public repositories						
HMDB	Database	Curated database of small molecule metabolites found in the human body	no	yes	yes (5)	ClassyFire/ChemOnt	yes (6)	yes	manual	29140435	https://pubmed.ncbi.nlm.nih.gov/29140435	(5) via search, (6) local and linked via SPLASH to MONA, MassBank						2,3,2004
LimeMap	Resource	Curated CellDesigner XML and Vanted GML graph of lipid mediator pathways	yes	no	no (15)	-	no	yes (16)	manual	33504811	https://pubmed.ncbi.nlm.nih.gov/33504811	(16) metabolic pathways of lipid mediators						
LIPID MAPS	Database	Curated portal for LIPID MAPS lipid classification, experimentally determined structures, in-silico combinatorial structures and other lipid resources	yes	yes	yes (7)	LIPID MAPS (8)	yes (9)	yes	manual	17098933	https://pubmed.ncbi.nlm.nih.gov/17098933	(7) via search and shorthand abbreviation, (8) Original and Liebisch 2020, (9) via Metabolomics Workbench						
LipidHome	Database	In-silico generated theoretical lipid structures	yes	yes (10)	no	Liebisch 2013	no	no	manual	23667450	https://pubmed.ncbi.nlm.nih.gov/23667450	(10) GP and GL only						
LipidWeb	Resource	Literature review and biochemistry of lipids	yes	yes (17)	no	-	yes (17)	yes (17)	manual	-	https://www.lipidmaps.org/resources/lipidweb/index.php?page=index.html	(17) not necessarily machine readable						
MassBank	Repository	Curated database of mass spectrometry reference spectra	no	no	no	-	yes	no	manual (11)	20623627	https://pubmed.ncbi.nlm.nih.gov/20623627	(11) based on Mass Bank submission format						
MetaboLights	Repository	Repository for metabolomics experiments (MS and NMR) and derived information	no	yes	no	ChEBI	yes (12)	no	manual (13)	31691833	https://pubmed.ncbi.nlm.nih.gov/31691833	(12) via reference to spectral data, (13) based on submission format ISA-Tab						
Metabolomics Workbench	Repository	Repository metabolomics data and metadata	no	yes	yes	RefMet	yes	no	manual (14)	26467476	https://pubmed.ncbi.nlm.nih.gov/26467476	(14) based on submission format mwTab						
Metabolonote	Repository	Wiki-based repository for metabolomics metadata	no	no	no	-	yes (12)	no	manual	25905099	https://pubmed.ncbi.nlm.nih.gov/25905099							
MetabolomXchange	Repository	Aggregator of metabolomics metadata from MetaboLights, Metabolomics Workbench, Metabolonote and Metabolomic Repository Bordeaux	no	no	no	-	no	no	no	28092796	https://pubmed.ncbi.nlm.nih.gov/28092796							
METASPACE	Repository	Repository for imaging mass spectrometry for metabolomics	no	yes	no	HMDB/ClassyFire/ChemOnt (15)	yes	no	manual	27842059	https://pubmed.ncbi.nlm.nih.gov/27842059	(15) others are available, e.g. LIPID MAPS, SwissLipids						
Panomics CCS	Database	Collisional Cross Section (Ion Mobility) Database for Metabolites and Xenobiotics acquired on drift tube instruments	no	yes	no	no	no	yes	manual	29568436	https://pubmed.ncbi.nlm.nih.gov/29568436							
SwissLipids	Database	Curated database of lipid structures with experimental evidence and integration with biological knowledge and models	yes	yes	yes	Liebisch 2013	no	yes	manual	25943471	https://pubmed.ncbi.nlm.nih.gov/25943471							
